4th CBSE,,,,,,5th CBSE,,,,,,6th CBSE,,,,,,7th CBSE,,,,,,8th CBSE,,,,,,9th CBSE,,,,,,10th CBSE,,,
,,,,% Match,,,,,,% Match,,,,,,% Match,,,,,,% Match,,,,,,% Match,,,,,,% Match,,,,,% Match
,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,Matter - Its Nature and Behaviour,123,224,25.00%
,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,Organization in the Living World ,124,225,0.00%
,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,"Motion, Force and Work",125,226,100.00%
,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,Geometry,126,227,0.00%
,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,Triangles,127,228,0.00%
,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,0.00%
,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,0.00%
,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,0.00%
,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,0.00%
,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,0.00%
,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,0.00%
,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,0.00%
,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,0.00%
,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,0.00%
,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,0.00%
,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,0.00%
,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,0.00%
,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,0.00%
,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,0.00%
,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,0.00%
,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,0.00%
,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,0.00%
,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,0.00%
,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,0.00%
,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,0.00%
,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,0.00%
,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,0.00%
,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,0.00%
,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,0.00%
,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,0.00%
,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,0.00%
,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,0.00%
,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,0.00%
,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,0.00%
,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,0.00%
,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,0.00%
,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,0.00%
,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,,0.00%,,,,,0.00%
